Anthropology,Cataloging Remarks
Anthropology,ex Argus PD tag
Anthropology,ex Argus PL tag
Anthropology,
Botany,Divisional Comment
Botany,
Entomology,ex Argus Dimension set
Entomology,ex Argus RE tag
Entomology,
Invertebrate Paleontology,Cataloging Remarks
Invertebrate Paleontology,Divisional Comment
Invertebrate Paleontology,ex Argus Dimension set
Invertebrate Paleontology,ex Argus MP tag
Invertebrate Paleontology,ex Argus PD tag
Invertebrate Paleontology,ex Argus PL tag
Invertebrate Paleontology,ex Argus RE tag
Invertebrate Paleontology,Field Notes
Invertebrate Paleontology,Original Label
Invertebrate Paleontology,
Invertebrate Zoology,Cataloging Remarks
Invertebrate Zoology,ex Argus Dimension set
Invertebrate Zoology,ex Argus PL tag
Invertebrate Zoology,ex Argus RE tag
Invertebrate Zoology,External Container Label
Invertebrate Zoology,Original Field Notes
Invertebrate Zoology,Original Label
Invertebrate Zoology,
Mineralogy & Meteoritics,Divisional Comment
Mineralogy & Meteoritics,ex Argus RE tag
Mineralogy & Meteoritics,
Paleobotany,Divisional Comment
Paleobotany,ex Argus Dimension set
Paleobotany,ex Argus MP tag
Paleobotany,ex Argus PD tag
Paleobotany,ex Argus PL tag
Paleobotany,ex Argus RE tag
Paleobotany,ex Argus SD tag
Paleobotany,
Vertebrate Paleontology,Divisional Comment
Vertebrate Paleontology,ex Argus Dimension set
Vertebrate Paleontology,ex Argus MP tag
Vertebrate Paleontology,ex Argus PD tag
Vertebrate Paleontology,ex Argus PL tag
Vertebrate Paleontology,ex Argus RE tag
Vertebrate Paleontology,ex Argus SD tag
Vertebrate Paleontology,
Vertebrate Zoology,Cataloging Remarks
Vertebrate Zoology,ex Argus Dimension set
Vertebrate Zoology,ex Argus PD tag
Vertebrate Zoology,ex Argus PL tag
Vertebrate Zoology,ex Argus RE tag
Vertebrate Zoology,
YPM Public Education,
,Cataloging Remarks
,Divisional Comment
,ex Argus Dimension set
,ex Argus MP tag
,ex Argus PD tag
,ex Argus PL tag
,ex Argus RE tag
,ex Argus SD tag
,External Container Label
,Field Notes
,Original Field Notes
,Original Label
