"""Illinois Dolostone"""
"""Oreapolis Ls"""
"""Purbeck Marble"""
"""Ubergauge"" A"
?Clinton Grp
?Columbus Ls
?Echinosphaerites Ls (c)
?Hamilton Grp
?Irdin Manha Fm
?Trenton Grp
?Whitwell Sh
Abercrombie Fm
Abitibi River Ls
Abo Fm
Abrigo Fm
Absher Ls
Accord Sh
Accraian Series
Acton Scott Beds
Adaville Fm
Admiral Fm
Admire Fm
Aeltere Grauwacke
Ahrdorf Fm
Ajax Ls
Akakus Ss
Akasaka Ls
Akiyoshi Ls
Akron Dol
Alachua Fm
Alachua Fm?
Alacran Mountain Fm
Alberese Flysch
Albert Sh
Alger Sh
Allan Mountain Fm
Allegheny Fm
Allen Bay Fm
Allenby
Allenby Fm
Allenby Formation
Almond Fm
Almond Fm--Ericson Ss
Alpena Ls
Alpena Ls?
Alpenkalk
Alsate Sh
Alston Fm
Alta Fm
Altamont Ls
Alternata Ls
Alto Fm
Altuda Fm
Altyn Fm
Alum Sh
Alymer
Amchitka Fm
Americus Ls
Ames Ls
Ames Ls Mbr
Amity Sh
Amouslek Fm
Ampthill Clay
Amsden Fm
Amsterdam Ls
Andalgal† Fm
Anderdon ls
Anderdon Ls
Anderson Fm
Angers Schist
Anse Cascon Fm
Antero Fm
Anticostian
Antler Peak Fm
Antler Peak Ls
Antlers Fm
Antrim Sh
Apache Ls
Aquia Fm
Arbuckle Ls
Arco Hills Fm
Arcturus Fm
Arcturus Ls
Argentine Ls
Argiles Ö Lignites
Arkona Sh
Arnheim
Arnheim Fm
Arnheim Sh
Aroostook River Fm
Arroyo Fm
Arshanto Fm
Arumbera Ss
Arundel Fm
Arvonia Slate
Asencia
Ash Hollow Fm
Ashfell Ls
Ashland Fm
Ashlock Fm
Ashlyarik Series
Aspen Sh
Aspen Shale
Aspidella Sl
Aspinwall Sh
Astian II Fm
Astian III Fm
Atanikerdluk FM
Athens Sh
Athens Shale
Atoka Fm
Auburn Chert
Auburn Sh
Austin Chalk
Avant Ls
Aweinat Wanin III Fm
Aylmer Ss
Aymestry Ls
Aztec Slts
B2
Bacon Ridge Ss
Bader Fm
Bailey Ls
Bainbridge Ls
Balang Fm
Ballyclough Fm
Bangor Ls
Barneston Ls
Barnett Hill Fm
Barnett Sh
Barney Creek Fm
Barstow Fm
Barton Clay
Barton Fm
Barton I
Barton II
Barun Goyot Fm
Basal Hornerstown Fm
Basal Hornerstown Fm?
basal Moenkopi Fm
basal Stockton Fm
Bashi Fm
Bass Fm
Baten Beni Zid Ss
Bathonian
Battery Point Fm
Battle Conglomerate
Battle Fm
Baynunah Fm
Bayport Ls
Beach Fm
Bear Lake Ls
Bear River Fm
Bearpaw Sh
Beartooth Butte Fm
Beartooth Butte Fm.
Beartooth Butte Fm?
Beattie Ls
Beattie Ls?
Beaufort
Beaverburk Ls
Beavertail Ls
Becancour Fm
Beck Pond Ls
Becraft Fm
Becraft Ls
Becscie Fm
Becscie Fm sensu J. Ross
Becsie River fm
Bedford Sh
Beebe School Fm
Beechhill Cove Fm
Beechhill Fm
Beechwood Fm
Beecraft Ls
Beekmantown Dol
Beekmantown Fm
Beekmantown Ls
Beglia Fm
Beil Ls
Belen Fm
Belgrade Fm
Bell Canyon Fm
Bell Canyon Fm.
Bell Sh
Belle City Ls
Belle Fourche Fm
Belle Plains Fm
Belle Plains Fm?
Bellefonte Dol
Bellerophon Ls
Bellevue Fm
Belly River
Belly River Fm
Belmont Fm
Belvidere Fm
Bembridge Ls
Benbolt Ls
Bend Grp
Benkovac Ls
Benson Fm
Benton Fm
Benton Fm?
Benton Sh
Benton Sh?
Berea Grit
Berea Ss
Bergkalk
Bern Ls
Bern Ls.
Bernardston Fm
Bertie Fm
Bertie Ls
Bertie Ls?
Bethany Falls Ls
Bevier Coal
Biel Ls
Big Branch Fm
Big Fork Chert
Big Hill Ls
Big Horn Fm
Bigby Fm
Bighorn ls
Bighorn Ls
Bills Creek Sh
Binnewater Ss
Bird Spring Fm
Bird Springs Fm
Birdsong Sh
Birket Qarun Fm
Bisher Dol
Bissett Cgl
Bitter Springs Fm
Biwabik Iron Fm
Biwalik Fm
Blach Ranch Ls
Black Creek Fm
Black Creek Fm?
Black Jura
Black Peaks Fm
Black Prince Ls
Black River
Black River fm
Black River Fm
Black River Ls
Blackdown Greensand
Blackford Fm
Blackhawk Fm
Blaine Fm
Blanco Fm
Blomidon Fm
Bloomington Fm
Bloomsburg Fm
Bloomsburg Sh
Bloyd Fm
Blue Lias
Blue Rapids Sh
Bluefield Fm
Blueflower Fm
Bluejacket Ss
Blufftown Fm
Bobcaygeon Fm
Boggy Fm
Boggy Sh
Bohdalec Fm
Bois Blanc Fm
Bois d'Arc Fm
Bois D'Arc Ls
Bolsa Qtz
Bonaventure Cgl
Bonaventure Fm
Bond Fm
Bone Spring Ls
Bonner Springs Sh
Boone Fm
Boonton Fm
Boquillas Fm
Borden Fm
Bordon Fm
Boringson Ls
Borkholm Beds
Bosauquet Clay
Bossardville Ls
Bosworth Ls
Botneheia Fm
Boulder Pass Fm
Bouleaux Fm
Bowland Sh
Brachiospongia Bed
Bracklesham Beds
Brad Fm
Brad Sh
Bradford Clay
Braintree Arg
Brallier Fm
Brassfield Fm
Brassfield Ls
Bravaisberget Fm
Brayman Sh
Breadhitt Fm
Breathitt
Breathitt Fm
Brethitt
Brian Head Fm
Bridger Fm
Bridger Fm?
Bright Angel Sh
Brighton Limestone
Briones Ss
Britton Fm
Broadwater Fm
Brock Canyon Fm
Brockenherst Beds
Bromberg Fm
Bromide Fm
Brooks Ranch Fm
Brown Jura
Brown Jura delta
Brown Jura ·
Browns Park Fm
Brownsport Fm
Brownville Ls
Brownwood Sh
Brule Fm
Brule Fm?
Brunswick Fm
Brushy Canyon Fm
Bryce Canyon Fm
Bryozoan Ls
Buchava Fm
Buckskin Mountain Fm
Buda Ls
BÅdesheim Sh
Buelna Fm
Bull Canyon Fm
Bull Fm
Bull Fork Fm
Bullion Mine Coal
Bundenbach Slate
Bunger Ls
Buntersandstein
Buntsandstein
Burditt Marl
Burgersdorp Fm
Burgsvik Fm
Burlingame Ls
Burlington Ls
Burning Sh
Burr Ls
Bursum Fm
Busby Qtz
Byram Fm
Caballo Ls
Cabaniss Fm
Cabot Head Sh
Cache Valley Fm
Cacheuta Fm
Caddo Creek Fm
Caddo Pool Fm
Caibei Ls
Cairn Fm
Calcaire de Couqueques
Calcaire de St. Ouen
Calcaire Grossier
Calcaire grossier
Calcaire Jaune Superieur
Calcaire Nummulitique
Calcaires de Rilly
Calcare Compatto
Calcarie Grossier Infer.
Calhoun Sh
Califerous Grp
Callam Fm
Callaway Ls
Callaway ls
Callovian
Calloway Creek Ls
Callville Ls
Caloosahatchee Fm
Caloosahatchee Fm.
Caloosahatchee Marl
Calvert Fm
Cambridge Greensand
Cambridge Ls
Camden Chert
Camillus Sh
Camillus Sh?
Camp Colorado Ls
Campanian
Campbellton Fm
Campito Fm
Canajoharie Sh
Canaseraga Ss
Caneadea Sh
Caney Sh
Caney shale
Canisteo Sh
Cannon ls
Cannon Ls
Cannonball Fm
Cap Bon Ami Fm
Caparo-Bellavista series
Cape May Fm
Capitan Ls
Caradocian Grits
Carbonado Fm
Carbondale Fm
Carboniferous Ls
Cardiff Sh
Carlile Sh
Carlile Sh?
Carlisle Center Fm
Carlisle Fm
Carlsbad Ls
Carmel Fm
Carrara Fm
Carters Ls
Carterville Fm
Caseyville Fm
Cashaqua Fm
Casper Fm
Cass Fm
Cass Ls
Cassiano Fm
Cassville Fm
Castle Hayne Fm
Castle Hayne Marl
Castlegate Ss
Cataract Fm
Catawissa Red Beds
Catheys fm
Catheys Fm
Catoctin Greenstone
Catskill
Catskill Fm
Catskill Fm?
Catskill Red Beds
Cattaraugus Fm
Cayo Agua Fm
Cayuta Fm
Cedar Mountain Fm
Cedar Valley Fm
Cedar Valley fm
Cedar Valley Ls
Centralia Fm
Ceratopyge Ls
Cerithienkalk
Cerithium Ls.
Cerro Alto Ls
Cerro Gordo fm
Cerro Victoria Fm
Chadron
Chadron Fm
Chaffee Fm
Chagrin Fm
Chagrin Sh
Chainman Fm
Chalk
Chalk Marl
Chambers Tuff Fm
Chambersburg Fm
Chambersburg Ls
Champion Sh
Champlain Clay
Champlain Fm
Cha§ares Fm
Changhsia Fm
Channahon Ls
Chanute Sh
Chao Mi Tien Ls
Chapman Ss
Chappel Ls
Charleton Fm
Charlevoix Ls
Charmouth Mudstone Fm
Chase Brook Fm
Chatburn Ls
Chattanooga Sh
Chatwall Fm
Chaumont Fm
Chaumont ls
Chazy
Chazy B
Chazy Fm
Chazy fm
Chazy Grp
Chazy Ls
Chehalis Fm
Chemung Fm
Chemung Grp
Chemung Rocks
Chemungian
Chepultepec Dol
Cherokee Sh
Cherry Canyon Fm
Cherryvale Fm
Cherryvale Sh
Cheshire Qtzite
Chester Fm
Chester Grp
Chesterian
Chharat Fm
Chia Zairi Fm
Chiangchiakou Ls
Chicago Fm
Chicamauga Ls
Chickamauga Ls
Chickasawhay Ls
Chico Fm
Chicotte Fm
Chientao Ls
Chihsia Ls
Chi-jiang Fm
Chimneyhill Ls
China Mountain Fm
Chinji Fm
Chinji Fm?
Chinle
Chinle Fm
Chipola Fm
Chira Fm
Chitarwata Fm
Chiungchussu Fm
Chloritic marl
Chocolate marl?
Choctawhatchee Fm
Chokecherry Dol
Choniukou Fm
Choptank Fm
Choptank Fm?
Chota Fm
Chouteau Ls
Chowan River Fm?
Choza Fm
Chrysler Fm
Chrysler Ls
Chrysler Ls?
Chrysler-Thacher fm
Chuckanut Fm
Chugwater Fm
Chupadera Fm
Church Ls
Cibolo Fm
Cieneguita Fm
Cieszyn Ls
Cincinnati Grp
Cincinnatian
Cisco
Clagett
Claggett Fm
Claggett Sh
Claiborne Fm
Clanbrassil Fm
Clarita Fm
Clarno Fm
Claspier Fm
Clays Ferry Fm
Clear Creek Chert
Clear Fork Fm
Clemville Fm
Cleveland Sh
Clifton Fm
Clinton
Clinton Fm
Clinton Grp
Clinton Ss
Cloridorme Fm
Cloughton Fm
Cloverly Fm
Clyde Fm
Clymenia Sh
Clymenkalk
Clypeus Grit
Coal Creek Ls
Coal Measures
Coaledo Fm
Coblentzian Fm
Cobleskill
Cobleskill Dol
Cobleskill Dol?
Cobleskill Fm
Cobleskill Ls
Coboconk Fm
Cobourg Fm
Cockle Ls
Coconino Ss
Cody Sh
Coeymans Fm
Coeymans Ls
Coeymans ls
Coeymans Ls?
Coffeeville Fm
Coffeyville Fm
Coleman Junction Ls
Colgate Fm
Colina Ls
College Hill Ls
Collingwood Fm
Colmena Fm
Colon Fm
Colony Creek Sh
